nom_departement;nom_zone;nom_station;code_station;polluant;niveau;unite;mesure;etat;date;TZ
Loire-Atlantique;Nantes;Bouteillerie;188;PM10;31;microg/m3;"moyenne journalière";V;2021-03-01;UTC
Loire-Atlantique;Nantes;Bouteillerie;188;PM10;40;microg/m3;"moyenne journalière";V;2021-03-02;UTC
Loire-Atlantique;Nantes;Bouteillerie;188;PM10;28;microg/m3;"moyenne journalière";V;2021-03-03;UTC
Loire-Atlantique;Nantes;Bouteillerie;188;PM10;18;microg/m3;"moyenne journalière";V;2021-03-04;UTC
Loire-Atlantique;Nantes;Bouteillerie;188;PM10;16;microg/m3;"moyenne journalière";V;2021-03-05;UTC
Loire-Atlantique;Nantes;Bouteillerie;188;PM10;19;microg/m3;"moyenne journalière";V;2021-03-06;UTC
Loire-Atlantique;Nantes;Bouteillerie;188;PM10;23;microg/m3;"moyenne journalière";V;2021-03-07;UTC
Loire-Atlantique;Nantes;Bouteillerie;188;PM10;35;microg/m3;"moyenne journalière";V;2021-03-08;UTC
Loire-Atlantique;Nantes;Bouteillerie;188;PM10;38;microg/m3;"moyenne journalière";V;2021-03-09;UTC
Loire-Atlantique;Nantes;Bouteillerie;188;PM10;28;microg/m3;"moyenne journalière";V;2021-03-10;UTC
Loire-Atlantique;Nantes;Bouteillerie;188;PM10;17;microg/m3;"moyenne journalière";V;2021-03-11;UTC
Loire-Atlantique;Nantes;Bouteillerie;188;PM10;17;microg/m3;"moyenne journalière";V;2021-03-12;UTC
Loire-Atlantique;Nantes;Bouteillerie;188;PM10;;;"moyenne journalière";;2021-03-13;UTC
Vendée;"La Roche-sur-Yon";Delacroix;152;PM10;18;microg/m3;"moyenne journalière";V;2021-02-28;UTC
Vendée;"La Roche-sur-Yon";Delacroix;152;PM10;31;microg/m3;"moyenne journalière";V;2021-03-01;UTC
Vendée;"La Roche-sur-Yon";Delacroix;152;PM10;37;microg/m3;"moyenne journalière";V;2021-03-02;UTC
Vendée;"La Roche-sur-Yon";Delacroix;152;PM10;31;microg/m3;"moyenne journalière";V;2021-03-03;UTC
Vendée;"La Roche-sur-Yon";Delacroix;152;PM10;18;microg/m3;"moyenne journalière";V;2021-03-04;UTC
Vendée;"La Roche-sur-Yon";Delacroix;152;PM10;19;microg/m3;"moyenne journalière";V;2021-03-05;UTC
Vendée;"La Roche-sur-Yon";Delacroix;152;PM10;20;microg/m3;"moyenne journalière";V;2021-03-06;UTC
Vendée;"La Roche-sur-Yon";Delacroix;152;PM10;22;microg/m3;"moyenne journalière";V;2021-03-07;UTC
Vendée;"La Roche-sur-Yon";Delacroix;152;PM10;34;microg/m3;"moyenne journalière";V;2021-03-08;UTC
Vendée;"La Roche-sur-Yon";Delacroix;152;PM10;47;microg/m3;"moyenne journalière";V;2021-03-09;UTC
Vendée;"La Roche-sur-Yon";Delacroix;152;PM10;32;microg/m3;"moyenne journalière";V;2021-03-10;UTC
Vendée;"La Roche-sur-Yon";Delacroix;152;PM10;16;microg/m3;"moyenne journalière";V;2021-03-11;UTC
Vendée;"La Roche-sur-Yon";Delacroix;152;PM10;17;microg/m3;"moyenne journalière";V;2021-03-12;UTC
Vendée;"La Roche-sur-Yon";Delacroix;152;PM10;;;"moyenne journalière";;2021-03-13;UTC
Loire-Atlantique;"Basse Loire";"St-Etienne de Montluc";70;PM10;19;microg/m3;"moyenne journalière";V;2021-02-28;UTC
Loire-Atlantique;"Basse Loire";"St-Etienne de Montluc";70;PM10;33;microg/m3;"moyenne journalière";V;2021-03-01;UTC
Loire-Atlantique;"Basse Loire";"St-Etienne de Montluc";70;PM10;43;microg/m3;"moyenne journalière";V;2021-03-02;UTC
Loire-Atlantique;"Basse Loire";"St-Etienne de Montluc";70;PM10;28;microg/m3;"moyenne journalière";V;2021-03-03;UTC
Loire-Atlantique;"Basse Loire";"St-Etienne de Montluc";70;PM10;16;microg/m3;"moyenne journalière";V;2021-03-04;UTC
Loire-Atlantique;"Basse Loire";"St-Etienne de Montluc";70;PM10;19;microg/m3;"moyenne journalière";V;2021-03-05;UTC
Loire-Atlantique;"Basse Loire";"St-Etienne de Montluc";70;PM10;19;microg/m3;"moyenne journalière";V;2021-03-06;UTC
Loire-Atlantique;"Basse Loire";"St-Etienne de Montluc";70;PM10;23;microg/m3;"moyenne journalière";V;2021-03-07;UTC
Loire-Atlantique;"Basse Loire";"St-Etienne de Montluc";70;PM10;36;microg/m3;"moyenne journalière";V;2021-03-08;UTC
Loire-Atlantique;"Basse Loire";"St-Etienne de Montluc";70;PM10;37;microg/m3;"moyenne journalière";V;2021-03-09;UTC
Loire-Atlantique;"Basse Loire";"St-Etienne de Montluc";70;PM10;22;microg/m3;"moyenne journalière";V;2021-03-10;UTC
Loire-Atlantique;"Basse Loire";"St-Etienne de Montluc";70;PM10;16;microg/m3;"moyenne journalière";V;2021-03-11;UTC
Loire-Atlantique;"Basse Loire";"St-Etienne de Montluc";70;PM10;14;microg/m3;"moyenne journalière";V;2021-03-12;UTC
Loire-Atlantique;"Basse Loire";"St-Etienne de Montluc";70;PM10;;;"moyenne journalière";;2021-03-13;UTC
